a	あ
g.	げい
gp	ぐう
gy	ぎい
g;	がん
gq	ごん
gj	げん
gk	ぐん
gx	ぎん
gna	ぎゃ
gno	ぎょ
gne	ぎぇ
gnu	ぎゅ
gni	ぎぃ
gn'	ぎゃい
gn,	ぎょう
gn.	ぎぇい
gnp	ぎゅう
gny	ぎぃい
gn;	ぎゃん
gnq	ぎょん
gnj	ぎぇん
gnk	ぎゅん
gnx	ぎぃん
gg	っ	g
za	ざ
zo	ぞ
ze	ぜ
zu	ず
zi	じ
z'	ざい
z,	ぞう
z.	ぜい
zp	ずう
zy	じい
z;	ざん
zq	ぞん
zj	ぜん
zk	ずん
zx	じん
zha	じゃ
zho	じょ
zhe	じぇ
zhu	じゅ
zhi	じぃ
zh'	じゃい
zh,	じょう
zh.	じぇい
zhp	じゅう
zhy	じぃい
zh;	じゃん
zhq	じょん
zhj	じぇん
zhk	じゅん
zhx	じぃん
zz	っ	z
da	だ
do	ど
de	で
du	づ
di	ぢ
d'	だい
d,	どう
d.	でい
dp	づう
dy	ぢい
d;	だん
dq	どん
dj	でん
dk	づん
dx	ぢん
dna	でゃ
dno	でょ
dne	でぇ
dnu	でゅ
dni	でぃ
dn'	でゃい
dn,	でょう
dn.	でぇい
dnp	でゅう
dny	でぃい
dn;	でゃん
dnq	でょん
dnj	でぇん
dnk	でゅん
dnx	でぃん
dha	ぢゃ
dho	ぢょ
dhe	ぢぇ
dhu	ぢゅ
dhi	ぢぃ
dh'	ぢゃい
dh,	ぢょう
dh.	ぢぇい
dhp	ぢゅう
dhy	ぢぃい
dh;	ぢゃん
dhq	ぢょん
dhj	ぢぇん
dhk	ぢゅん
dhx	ぢぃん
dd	っ	d
va	ぱ
vo	ぽ
ve	ぺ
vu	ぷ
vi	ぴ
v'	ぱい
v,	ぽう
v.	ぺい
vp	ぷう
vy	ぴい
v;	ぱん
vq	ぽん
vj	ぺん
vk	ぷん
vx	ぴん
vha	ぴゃ
vho	ぴょ
vhe	ぴぇ
vhu	ぴゅ
vhi	ぴぃ
vh'	ぴゃい
vh,	ぴょう
vh.	ぴぇい
vhp	ぴゅう
vhy	ぴぃい
vh;	ぴゃん
vhq	ぴょん
vhj	ぴぇん
vhk	ぴゅん
vhx	ぴぃん
vv	っ	v
vta	ゔぁ
vto	ゔぉ
vte	ゔぇ
vtu	ゔ
vti	ゔぃ
vt'	ゔぁい
vt,	ゔぉう
vt.	ゔぇい
vtp	ゔう
vty	ゔぃい
vt;	ゔぁん
vtq	ゔぉん
vtj	ゔぇん
vtk	ゔん
vtx	ゔぃん
vsa	ゔぁ
vso	ゔぉ
vse	ゔぇ
vsu	ゔ
vsi	ゔぃ
vs'	ゔぁい
vs,	ゔぉう
vs.	ゔぇい
vsp	ゔう
vsy	ゔぃい
vs;	ゔぁん
vsq	ゔぉん
vsj	ゔぇん
vsk	ゔん
vsx	ゔぃん
ba	ば
bo	ぼ
be	べ
bu	ぶ
bi	び
b'	ばい
b,	ぼう
b.	べい
bp	ぶう
by	びい
b;	ばん
bq	ぼん
bj	べん
bk	ぶん
bx	びん
bna	びゃ
bno	びょ
bne	びぇ
bnu	びゅ
bni	びぃ
bn'	びゃい
bn,	びょう
bn.	びぇい
bnp	びゅう
bny	びぃい
bn;	びゃん
bnq	びょん
bnj	びぇん
bnk	びゅん
bnx	びぃん
bb	っ	b
la	ぁ
lo	ぉ
le	ぇ
lu	ぅ
li	ぃ
l'	ぁい
l,	ぉう
l.	ぇい
lp	ぅう
ly	ぃい
l;	ぁん
lq	ぉん
lj	ぇん
lk	ぅん
lx	ぃん
ll	っ	l
lfa	ゃ
lfo	ょ
lfe	ぇ
lfu	ゅ
lfi	ぃ
lf'	ゃい
lf,	ょう
lf.	ぇい
lfp	ゅう
lfy	ぃい
lf;	ゃん
lfq	ょん
lfj	ぇん
lfk	ゅん
lfx	ぃん
[	「
]	」
-	ー
l,	、
l.	。
